id,input_matrix,output_matrix,functions
10,"[[1 2 5 5 0 3]
 [3 0 2 3 1 3]
 [1 5 3 5 2 1]
 [2 3 5 1 1 5]
 [3 3 0 1 2 0]
 [3 1 5 1 3 1]]","[[1 7 7 7 7 3]
 [3 7 7 3 1 3]
 [1 7 3 7 7 1]
 [7 3 7 1 1 7]
 [3 3 7 1 7 7]
 [3 1 7 1 3 1]]","['totuple', 'palette', 'mostcolor', 'mostcommon', 'tuple', 'range', 'colorcount', 'asindices', 'sfilter', 'either', 'equality', 'index', 'difference', 'fill']"
11,"[[0 9 5 9]
 [9 2 5 2]
 [0 2 5 1]
 [1 2 9 2]]","[[7 9 7 9]
 [9 2 7 2]
 [7 2 7 7]
 [7 2 9 2]]","['totuple', 'palette', 'mostcolor', 'mostcommon', 'tuple', 'range', 'colorcount', 'asindices', 'sfilter', 'either', 'equality', 'index', 'difference', 'fill']"
12,"[[9 1 2 1 1 2]
 [1 1 2 6 3 6]
 [6 1 6 6 9 6]
 [6 2 9 6 9 3]
 [1 2 6 2 6 1]
 [1 6 3 3 2 3]]","[[7 1 7 1 1 7]
 [1 1 7 6 7 6]
 [6 1 6 6 7 6]
 [6 7 7 6 7 7]
 [1 7 6 7 6 1]
 [1 6 7 7 7 7]]","['totuple', 'palette', 'mostcolor', 'mostcommon', 'tuple', 'range', 'colorcount', 'asindices', 'sfilter', 'either', 'equality', 'index', 'difference', 'fill']"
13,"[[1 2 1 0 0 0]
 [0 6 1 0 1 0]
 [0 4 1 0 2 6]
 [4 1 2 1 1 1]]","[[1 7 1 0 0 0]
 [0 7 1 0 1 0]
 [0 7 1 0 7 7]
 [7 1 7 1 1 1]]","['totuple', 'palette', 'mostcolor', 'mostcommon', 'tuple', 'range', 'colorcount', 'asindices', 'sfilter', 'either', 'equality', 'index', 'difference', 'fill']"
14,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 5 5 5 0 0 0 0 0 0 0 0 0]
 [0 0 0 6 8 8 0 0 0 0 0 0 0 0 0]
 [0 0 0 6 5 5 0 0 9 9 9 0 0 0 0]
 [0 0 0 0 0 0 0 0 4 4 9 0 0 0 0]
 [0 0 0 0 0 0 0 0 4 9 9 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 7 1 0 0 0 0 0]
 [0 0 0 3 2 2 0 7 1 7 0 0 0 0 0]
 [0 0 0 2 2 2 0 7 7 7 0 0 0 0 0]
 [0 0 0 3 2 3 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[[5 5 5]
 [6 8 8]
 [6 5 5]]","['totuple', 'objects', 'argmax', 'size', 'palette', 'subgrid']"
15,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 9 9 9 0 0 0 7 4 4 0 0 0 0]
 [0 0 8 8 9 0 0 0 7 4 7 0 0 0 0]
 [0 0 8 8 9 0 0 0 7 4 4 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 1 3 3 0 0 0 0]
 [0 0 0 0 0 0 0 0 1 2 2 0 0 0 0]
 [0 0 0 0 0 0 0 0 1 3 2 0 0 0 0]
 [0 0 3 6 6 0 0 0 0 0 0 0 0 0 0]
 [0 0 3 3 3 0 0 0 0 0 0 0 0 0 0]
 [0 0 6 6 3 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[[1 3 3]
 [1 2 2]
 [1 3 2]]","['totuple', 'objects', 'argmax', 'size', 'palette', 'subgrid']"
16,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 7 5 5 0 0 0 0 0 0 0 0 0 0]
 [0 0 5 7 5 0 0 0 1 6 2 0 0 0 0]
 [0 0 5 7 7 0 0 0 6 1 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 2 6 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 8 3 3 0 0 0 0 0 0 0 0 0 0]
 [0 0 3 3 8 0 0 0 0 0 0 0 0 0 0]
 [0 0 8 3 3 0 0 0 9 4 4 0 0 0 0]
 [0 0 0 0 0 0 0 0 4 9 4 0 0 0 0]
 [0 0 0 0 0 0 0 0 4 4 9 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[[1 6 2]
 [6 1 1]
 [2 6 1]]","['totuple', 'objects', 'argmax', 'size', 'palette', 'subgrid']"
17,"[[0 0 3 0 3 3 0 2 2 2 2 0 0 0]
 [3 0 0 0 3 3 0 0 2 2 2 2 0 2]
 [3 3 0 3 0 0 0 2 0 2 0 2 0 2]
 [3 3 3 0 0 0 3 2 2 0 0 0 0 0]]","[[0 0 0 0 0 0 5]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 5 0]
 [0 0 0 5 5 5 0]]","['totuple', 'lefthalf', 'righthalf', 'cellwise', 'replace']"
18,"[[3 3 3 0 0 3 0 2 0 0 0 2 2 2]
 [0 3 3 3 3 0 3 2 0 0 0 0 0 2]
 [0 0 3 0 3 3 3 0 0 2 2 0 2 2]
 [0 0 0 3 0 0 0 0 0 2 0 2 2 2]]","[[0 0 0 5 0 0 0]
 [0 0 0 0 0 5 0]
 [5 5 0 0 0 0 0]
 [5 5 0 0 0 0 0]]","['totuple', 'lefthalf', 'righthalf', 'cellwise', 'replace']"
19,"[[0 3 3 0 3 0 3 2 0 2 0 0 0 2]
 [3 0 3 0 0 0 0 0 0 0 0 2 2 0]
 [0 3 3 0 0 3 3 0 0 0 0 2 0 2]
 [0 3 3 0 3 0 3 0 2 2 2 0 2 0]]","[[0 0 0 5 0 5 0]
 [0 5 0 5 0 0 5]
 [5 0 0 5 0 0 0]
 [5 0 0 0 0 0 0]]","['totuple', 'lefthalf', 'righthalf', 'cellwise', 'replace']"
20,"[[0 0 3 3 3 3 3 2 2 2 0 0 0 0]
 [3 0 0 0 0 3 0 2 0 0 0 0 0 0]
 [3 0 0 3 3 0 0 0 0 2 2 2 2 0]
 [0 0 0 0 0 3 3 0 0 0 2 2 0 2]]","[[0 0 0 0 0 0 0]
 [0 5 5 5 5 0 5]
 [0 5 0 0 0 0 5]
 [5 5 5 0 0 0 0]]","['totuple', 'lefthalf', 'righthalf', 'cellwise', 'replace']"
21,"[[0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 8 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 8 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 8 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 1 8 1 1 1 1 1 1 0 0]
 [0 0 1 0 0 0 0 0 0 1 0 0]
 [0 0 1 0 0 0 0 0 0 8 0 0]
 [0 0 1 0 0 0 0 0 0 1 0 0]
 [0 0 1 0 0 0 0 0 0 1 0 0]
 [0 0 8 1 1 1 1 1 1 1 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]]","['totuple', 'ofcolor', 'uppermost', 'lowermost', 'leftmost', 'rightmost', 'connect', 'combine', 'difference', 'fill']"
22,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 8 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0]
 [0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0]
 [0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 1 1 1 1 1 1 1 8 1 1 1 1 1 1 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","['totuple', 'ofcolor', 'uppermost', 'lowermost', 'leftmost', 'rightmost', 'connect', 'combine', 'difference', 'fill']"
23,"[[0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 8 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 8 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 8 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 1 1 1 1 1 1 8 1 1 0 0]
 [0 0 1 0 0 0 0 0 0 0 1 0 0]
 [0 0 1 0 0 0 0 0 0 0 1 0 0]
 [0 0 1 0 0 0 0 0 0 0 1 0 0]
 [0 0 1 0 0 0 0 0 0 0 1 0 0]
 [0 0 8 0 0 0 0 0 0 0 1 0 0]
 [0 0 1 0 0 0 0 0 0 0 1 0 0]
 [0 0 1 0 0 0 0 0 0 0 1 0 0]
 [0 0 1 1 1 1 1 1 1 1 8 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0]]","['totuple', 'ofcolor', 'uppermost', 'lowermost', 'leftmost', 'rightmost', 'connect', 'combine', 'difference', 'fill']"
24,"[[7 3 8 7]
 [7 8 3 7]
 [7 3 8 7]
 [7 8 3 7]]","[[7 3 8 7]
 [7 7 8 3]
 [7 3 8 7]
 [7 7 8 3]]","['objects', 'chain', 'mfilter', 'move']"
25,"[[0 5 7 7 7 7]
 [5 0 7 7 7 7]
 [0 5 7 7 7 7]
 [5 0 7 7 7 7]
 [0 5 7 7 7 7]
 [5 0 7 7 7 7]]","[[0 5 7 7 7 7]
 [7 5 0 7 7 7]
 [0 5 7 7 7 7]
 [7 5 0 7 7 7]
 [0 5 7 7 7 7]
 [7 5 0 7 7 7]]","['objects', 'chain', 'mfilter', 'move']"
26,"[[0 1 1 0 1 0 1 0 0 0 0 0]
 [0 0 1 0 0 1 0 0 1 1 0 0]
 [0 0 1 0 0 0 1 1 1 1 1 0]
 [0 0 0 0 0 0 0 1 0 1 1 0]
 [1 0 1 0 0 1 1 0 0 0 1 1]
 [1 1 0 1 0 0 0 1 1 0 0 0]
 [1 0 0 1 0 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0 0 0 0]
 [2 0 1 1 1 0 0 1 0 0 1 2]
 [0 1 0 0 0 0 0 1 0 1 0 0]
 [1 0 0 0 1 0 0 1 0 1 1 1]
 [0 0 1 0 0 1 0 1 1 0 1 0]]","[[0 1 1 0 1 0 1 0 0 0 0 0]
 [0 0 1 0 0 1 0 0 1 1 0 0]
 [0 0 1 0 0 0 1 1 1 1 1 0]
 [0 0 0 0 0 0 0 1 0 1 1 0]
 [1 0 1 0 0 1 1 0 0 0 1 1]
 [1 1 0 1 0 0 0 1 1 0 0 0]
 [1 0 0 1 0 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0 0 0 0]
 [2 2 3 3 3 2 2 3 2 2 3 2]
 [0 1 0 0 0 0 0 1 0 1 0 0]
 [1 0 0 0 1 0 0 1 0 1 1 1]
 [0 0 1 0 0 1 0 1 1 0 1 0]]","['ofcolor', 'first', 'last', 'connect', 'toindices', 'difference', 'lbind', 'rbind', 'compose', 'fork', 'apply', 'paint']"
27,"[[2 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0]
 [0 0 0 0 0 0 0 1 1 1 1 1 0 0 1 0]
 [0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 1]
 [0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1]
 [0 1 1 0 1 1 0 0 1 1 1 1 0 1 0 0]
 [0 0 0 1 1 1 1 1 0 1 1 0 1 1 1 1]
 [0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0]
 [0 0 0 1 1 0 0 0 1 0 0 0 0 1 1 0]
 [1 0 0 0 1 0 0 1 0 1 0 1 0 0 1 1]
 [1 1 1 1 1 1 0 0 1 0 1 1 0 1 0 0]
 [0 1 1 1 0 1 0 1 0 0 0 1 0 0 0 1]
 [0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1]
 [0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0]
 [1 0 0 1 0 1 0 1 0 0 0 0 1 1 0 1]
 [0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1]
 [0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 2]]","[[2 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0]
 [0 2 0 0 0 0 0 1 1 1 1 1 0 0 1 0]
 [0 1 2 0 0 0 0 0 1 0 0 1 0 0 1 1]
 [0 0 0 2 0 0 0 0 0 0 1 1 1 0 1 1]
 [0 1 1 0 3 1 0 0 1 1 1 1 0 1 0 0]
 [0 0 0 1 1 3 1 1 0 1 1 0 1 1 1 1]
 [0 1 0 0 0 0 2 0 0 0 1 0 1 0 0 0]
 [0 0 0 1 1 0 0 2 1 0 0 0 0 1 1 0]
 [1 0 0 0 1 0 0 1 2 1 0 1 0 0 1 1]
 [1 1 1 1 1 1 0 0 1 2 1 1 0 1 0 0]
 [0 1 1 1 0 1 0 1 0 0 2 1 0 0 0 1]
 [0 0 0 1 0 0 0 0 0 1 0 2 0 0 0 1]
 [0 0 0 0 0 0 0 0 0 0 1 1 2 0 1 0]
 [1 0 0 1 0 1 0 1 0 0 0 0 1 3 0 1]
 [0 0 0 0 0 1 0 1 1 0 0 0 0 1 2 1]
 [0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 2]]","['ofcolor', 'first', 'last', 'connect', 'toindices', 'difference', 'lbind', 'rbind', 'compose', 'fork', 'apply', 'paint']"
